Completed in 6262.875s

0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 450, 'lr': 0.1}
0.571970 (0.128875) with: {'batch_size': 48, 'epochs': 500, 'lr': 0.001}
0.628788 (0.158623) with: {'batch_size': 48, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 500, 'lr': 0.1}
0.583333 (0.152145) with: {'batch_size': 72, 'epochs': 50, 'lr': 0.001}
0.587121 (0.150493) with: {'batch_size': 72, 'epochs': 50, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 50, 'lr': 0.1}
0.734848 (0.114541) with: {'batch_size': 72, 'epochs': 100, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 100, 'lr': 0.005}
0.609848 (0.164986) with: {'batch_size': 72, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 100, 'lr': 0.1}
0.696970 (0.137067) with: {'batch_size': 72, 'epochs': 150, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 150, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 150, 'lr': 0.1}
0.643939 (0.100752) with: {'batch_size': 72, 'epochs': 200, 'lr': 0.001}
0.602273 (0.167289) with: {'batch_size': 72, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 200, 'lr': 0.1}
