Completed in 2481.314s

0.617424 (0.169692) with: {'batch_size': 144, 'epochs': 25}
0.708333 (0.143292) with: {'batch_size': 144, 'epochs': 50}
0.678030 (0.187696) with: {'batch_size': 144, 'epochs': 75}
0.617424 (0.094202) with: {'batch_size': 144, 'epochs': 100}
0.594697 (0.153576) with: {'batch_size': 144, 'epochs': 125}
0.640152 (0.194454) with: {'batch_size': 144, 'epochs': 150}
0.723485 (0.191378) with: {'batch_size': 144, 'epochs': 175}
0.621212 (0.100774) with: {'batch_size': 144, 'epochs': 200}
0.651515 (0.181058) with: {'batch_size': 144, 'epochs': 225}
0.678030 (0.212263) with: {'batch_size': 144, 'epochs': 250}
0.655303 (0.178032) with: {'batch_size': 144, 'epochs': 275}
0.632576 (0.159987) with: {'batch_size': 144, 'epochs': 300}
0.613636 (0.168947) with: {'batch_size': 144, 'epochs': 325}
0.621212 (0.176312) with: {'batch_size': 144, 'epochs': 350}
0.590909 (0.158526) with: {'batch_size': 144, 'epochs': 375}
0.678030 (0.192885) with: {'batch_size': 144, 'epochs': 400}
0.625000 (0.193753) with: {'batch_size': 144, 'epochs': 425}
0.625000 (0.163665) with: {'batch_size': 144, 'epochs': 450}
0.594697 (0.159843) with: {'batch_size': 144, 'epochs': 475}
0.602273 (0.137787) with: {'batch_size': 168, 'epochs': 25}
0.598485 (0.165488) with: {'batch_size': 168, 'epochs': 50}
0.651515 (0.185111) with: {'batch_size': 168, 'epochs': 75}
0.651515 (0.182720) with: {'batch_size': 168, 'epochs': 100}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 125}
0.643939 (0.125270) with: {'batch_size': 168, 'epochs': 150}
0.613636 (0.172455) with: {'batch_size': 168, 'epochs': 175}
0.640152 (0.157336) with: {'batch_size': 168, 'epochs': 200}
0.632576 (0.098733) with: {'batch_size': 168, 'epochs': 225}
0.681818 (0.117839) with: {'batch_size': 168, 'epochs': 250}
0.712121 (0.215743) with: {'batch_size': 168, 'epochs': 275}
0.685606 (0.115294) with: {'batch_size': 168, 'epochs': 300}
0.681818 (0.183765) with: {'batch_size': 168, 'epochs': 325}
0.662879 (0.174067) with: {'batch_size': 168, 'epochs': 350}
0.643939 (0.155639) with: {'batch_size': 168, 'epochs': 375}
0.625000 (0.176253) with: {'batch_size': 168, 'epochs': 400}
0.606061 (0.155048) with: {'batch_size': 168, 'epochs': 425}
0.693182 (0.150893) with: {'batch_size': 168, 'epochs': 450}
0.632576 (0.185652) with: {'batch_size': 168, 'epochs': 475}
0.606061 (0.152681) with: {'batch_size': 192, 'epochs': 25}
0.696970 (0.115090) with: {'batch_size': 192, 'epochs': 50}
0.632576 (0.098733) with: {'batch_size': 192, 'epochs': 75}
0.723485 (0.138728) with: {'batch_size': 192, 'epochs': 100}
0.609848 (0.164986) with: {'batch_size': 192, 'epochs': 125}
0.617424 (0.176182) with: {'batch_size': 192, 'epochs': 150}
0.678030 (0.193959) with: {'batch_size': 192, 'epochs': 175}
0.609848 (0.168353) with: {'batch_size': 192, 'epochs': 200}
0.685606 (0.095875) with: {'batch_size': 192, 'epochs': 225}
0.712121 (0.219757) with: {'batch_size': 192, 'epochs': 250}
0.681818 (0.182202) with: {'batch_size': 192, 'epochs': 275}
0.738636 (0.085256) with: {'batch_size': 192, 'epochs': 300}
0.712121 (0.107761) with: {'batch_size': 192, 'epochs': 325}
0.715909 (0.145448) with: {'batch_size': 192, 'epochs': 350}
0.636364 (0.191450) with: {'batch_size': 192, 'epochs': 375}
0.640152 (0.191884) with: {'batch_size': 192, 'epochs': 400}
0.587121 (0.159881) with: {'batch_size': 192, 'epochs': 425}
0.750000 (0.145955) with: {'batch_size': 192, 'epochs': 450}
0.696970 (0.213489) with: {'batch_size': 192, 'epochs': 475}
0.606061 (0.157961) with: {'batch_size': 216, 'epochs': 25}
0.579545 (0.135553) with: {'batch_size': 216, 'epochs': 50}
0.685606 (0.151657) with: {'batch_size': 216, 'epochs': 75}
0.613636 (0.161851) with: {'batch_size': 216, 'epochs': 100}
0.715909 (0.121583) with: {'batch_size': 216, 'epochs': 125}
0.640152 (0.182738) with: {'batch_size': 216, 'epochs': 150}
0.602273 (0.170595) with: {'batch_size': 216, 'epochs': 175}
0.731061 (0.125877) with: {'batch_size': 216, 'epochs': 200}
0.746212 (0.117239) with: {'batch_size': 216, 'epochs': 225}
0.651515 (0.203123) with: {'batch_size': 216, 'epochs': 250}
0.594697 (0.165873) with: {'batch_size': 216, 'epochs': 275}
0.594697 (0.148139) with: {'batch_size': 216, 'epochs': 300}
0.651515 (0.123910) with: {'batch_size': 216, 'epochs': 325}
0.780303 (0.131645) with: {'batch_size': 216, 'epochs': 350}
0.643939 (0.174035) with: {'batch_size': 216, 'epochs': 375}
0.662879 (0.200259) with: {'batch_size': 216, 'epochs': 400}
